Format,# pages,Total follow domains,Avg follow domains,Best page follow domains,Total domains (incl nofollow),# competitors,Median words,Oldest page
News article,74,10067,136.0,1071,13956,3,1325,2019
Toolkit,6,454,75.7,124,629,2,472,2019
Data report / original research,76,5491,72.2,625,6614,13,1028,2019
Other / editorial,61,3541,58.0,281,5167,11,1607,2019
Coding challenge / practice,6,253,42.2,97,445,2,296,2019
Pillar guide,180,5599,31.1,357,9431,18,3138,2019
Framework / competency model,3,87,29.0,63,103,2,503,2019
Statistics roundup,44,1063,24.2,165,1540,9,2083,2020
Listicle,162,3208,19.8,279,5448,16,2646,2019
How-to guide,324,4416,13.6,697,7253,19,2139,2019
Event / hackathon page,16,216,13.5,151,259,3,956,2019
Pricing page,5,66,13.2,31,146,5,847,2020
Product / landing page,387,5041,13.0,431,6899,19,1174,2019
Opinion / editorial article,128,1514,11.8,162,3297,11,1328,2019
Rankings / comparison,278,3167,11.4,116,6868,16,2837,2019
Certificate / course page,137,1561,11.4,280,3140,5,1479,2019
Free product / library page,22,235,10.7,58,628,12,1057,2019
Definitional explainer,738,7658,10.4,221,16407,21,2207,2019
Calculator / tool,8,79,9.9,29,119,4,370,2019
Checklist / cheat sheet,3,28,9.3,24,31,3,2782,2021
Podcast,8,64,8.0,36,342,5,7558,2019
Forum / discussion thread,2,15,7.5,8,15,1,0,2021
Tips listicle,38,271,7.1,22,445,9,2185,2019
Case study,47,261,5.6,172,272,11,657,2019
Templates / examples pack,52,293,5.6,25,3850,10,2037,2019
Glossary,119,632,5.3,60,4564,9,964,2019
API / developer docs,2,10,5.0,8,11,2,1133,2021
Interview-questions listicle,84,343,4.1,89,841,12,4724,2019
Product review,14,57,4.1,7,152,1,0,2023
Pricing guide,7,26,3.7,5,63,1,0,2024
Quiz / assessment,204,662,3.2,18,1620,10,1800,2019
Trends / predictions,4,11,2.8,4,47,3,2313,2023
Expert roundup,2,5,2.5,3,5,1,4256,2021
Testimonials / customer proof,2,4,2.0,3,4,2,2174,2021
Infographic,2,4,2.0,3,4,2,995,2021
Interview / Q&A article,1,2,2.0,2,2,1,566,2021
Whitepaper / ebook,14,27,1.9,6,28,7,281,2019
Webinar,9,17,1.9,3,17,2,197,2020
Role skills guide,46,80,1.7,5,195,3,2596,2023
FAQ page,4,5,1.2,2,6,3,560,2019
Integrations page,6,6,1.0,1,14,6,574,2021
Myths listicle,1,1,1.0,1,1,1,1885,2020
